Listing Name,Price,Room Type,Reviews,Location
Luxury Loft Private Room B (3C),121,Private room,11 reviews,Brooklyn
Private Room in Spacious Apartment,73,Private room,8 reviews,Brooklyn
Cozy Room In Brooklyn!!!,85,Private room,9 reviews,"Lefferts Garden, Brooklyn"
"BEST DEAL IN BROOKLYN, FULL SIZE BD",54,Private room,38 reviews,Brooklyn
Bedroom in a spacious artsy Loft,60,Private room,41 reviews,"Williamsburg, Brooklyn"
Beautiful room attached to bathroom,103,Private room,33 reviews,"Greenpoint, Brooklyn"
"Williamsburg Apt.near L,M,J,G train",97,Private room,4 reviews,Brooklyn
Bushwick B&B in Brooklyn NY,115,Private room,59 reviews,"East New York, Brooklyn"
Mayor's Mansion - Garden_Suite,163,Private room,9 reviews,Brooklyn
Welcome to the Valley!,121,Entire home/apt,20 reviews,"Bushwick, Brooklyn"
Brooklyn Zen,181,Entire home/apt,14 reviews,"Brooklyn Heights, Brooklyn"
Quaint Studio Apt. $1100 monthly,48,Entire home/apt,2 reviews,"Bay Ridge, Brooklyn"
The Wedge House,151,Entire home/apt,2 reviews,Brooklyn
Large and sunny bedroom in Brooklyn,79,Private room,28 reviews,"Crown Heights, Brooklyn"
Sun-drenched 1 Bedroom on the Park,158,Entire home/apt,23 reviews,"Greenpoint, Brooklyn"
Big King Room in Williamsburg,104,Private room,31 reviews,"Williamsburg, Brooklyn"
"NYC, Modern & Comfortable. THE ONE",241,Entire home/apt,50 reviews,"Williamsburg, Brooklyn"
PRIME LOCATION STYLISH COMFORT,333,Entire home/apt,26 reviews,"Williamsburg, Brooklyn"
Bedford Stuyvesant Urban Hang Suite,181,Entire home/apt,48 reviews,"Bedford-Stuyvesant, Brooklyn"
1100 sq/ft loft-apt in williamsburg,200,Entire home/apt,18 reviews,"Williamsburg, Brooklyn"
Charming Williamsburg Room,119,Private room,11 reviews,"Williamsburg, Brooklyn"
Comfortable 1 Bedroom in Greenpoint,181,Entire home/apt,25 reviews,"Greenpoint, Brooklyn"
Spacious Sunny 2BR/Prime Greenpoint,242,Entire home/apt,6 reviews,Brooklyn
"HUGE bdr, LOFT BEDFORD - 5MN Manhat",73,Private room,0 reviews,Brooklyn
Huge and Beautiful Room,103,Private room,3 reviews,"Bushwick, Brooklyn"
terrace.view.luxury.1stop manhattan,387,Entire home/apt,0 reviews,Brooklyn
"Bright, Large room with Queen Bed",115,Private room,1 review,Brooklyn
Gorgeous Private 1 Bedroom,127,Private room,5 reviews,Brooklyn
Modern 2 Bedroom in Park Slope,302,Entire home/apt,1 review,Brooklyn
Bedford Stuyvesant Urban Hang Suite,181,Entire home/apt,48 reviews,"Bedford-Stuyvesant, Brooklyn"
Big Beautiful Railroad in Brooklyn,212,Entire home/apt,26 reviews,"Bushwick, Brooklyn"
Cute + Cozy: Park Slope One Bedroom,157,Entire home/apt,1 review,Brooklyn
Williamsburg apartment with terrace,212,Entire home/apt,69 reviews,"Williamsburg, Brooklyn"
Charming Townhouse 2BD/2BTH w Patio,224,Entire home/apt,68 reviews,"Clinton Hill, Brooklyn"
Strawberry B&B,85,Private room,24 reviews,"Bushwick, Brooklyn"
Spacious & Stylish-Central location,181,Entire home/apt,18 reviews,"Williamsburg, New York"
Beautiful luxury one-bdrm apartment,229,Entire home/apt,19 reviews,"Williamsburg, Brooklyn"
3BR Duplex + Backyard (Sleeps 6),272,Entire home/apt,8 reviews,Brooklyn
BEAUTIFUL ROOM IN BKLYN BROWNSTONE,108,Private room,38 reviews,"Bedford-Stuyvesant, Brooklyn"
Beautiful Private Apt- Williamsburg,121,Private room,6 reviews,"Greenpoint, Brooklyn"
Garden Apartment in Park Slope,181,Entire home/apt,31 reviews,"Park Slope, Brooklyn"
"Sunny, Large & Lovely in Greenpoint",363,Entire home/apt,23 reviews,"Greenpoint, Brooklyn"
Beautiful central bright loft apt.,242,Entire home/apt,33 reviews,"Williamsburg, Brooklyn"
Luminous 2BR in Park Slope NYC,204,Entire home/apt,7 reviews,Brooklyn
Airy and Bright Loft -Williamsburg,241,Entire home/apt,23 reviews,"Williamsburg, Brooklyn"
Williamsburg Penthouse Guestroom,73,Private room,6 reviews,Brooklyn
Giant Bedroom - Steps from Subway,114,Private room,2 reviews,Brooklyn
"Cobble Hill, Brooklyn, townhouse BR",181,Private room,2 reviews,Brooklyn
Beautiful Brooklyn share apartment,54,Shared room,11 reviews,"Bay Ridge, Brooklyn"
20% Off Winter Sale - Private Apt,192,Entire home/apt,136 reviews,"Park Slope, Brooklyn"
big riverside 1bedrm williamsburg!,278,Entire home/apt,5 reviews,Brooklyn
Quaint Studio Apt. $1100 monthly,48,Entire home/apt,2 reviews,"Bay Ridge, Brooklyn"
Mayor's Mansion - Garden Suite,151,Private room,46 reviews,"Fort Greene, Brooklyn"
Cozy Room In Brooklyn!!!,85,Private room,9 reviews,"Lefferts Garden, Brooklyn"
Perfect in Park Slope: EZ 2 NYC,181,Entire home/apt,10 reviews,"Park Slope, Brooklyn"
Beautiful Space in Brooklyn Heights,242,Entire home/apt,5 reviews,"Brooklyn Heights, Brooklyn"
**SUPERB SPACE IN DUMBO BROOKLYN**,133,Private room,52 reviews,"DUMBO, Brooklyn"
Charming Brooklyn Studio,133,Entire home/apt,59 reviews,"Crown Heights, New York"
KOZY ROOM IN FORT GREENE BROOKLYN..,96,Private room,87 reviews,"Fort Greene, Brooklyn"
Sunny Private Room in Williamsburg,97,Private room,40 reviews,"Williamsburg, Brooklyn"
Large and sunny bedroom in Brooklyn,79,Private room,28 reviews,"Crown Heights, Brooklyn"
Park Slope Pied a Terre,108,Entire home/apt,158 reviews,"Park Slope, Brooklyn"
Private Room in Sunny Brownstone,79,Private room,25 reviews,"Lefferts Garden, Brooklyn"
Classic Artist Loft Williamsburg,151,Private room,89 reviews,"Williamsburg, Brooklyn"
Idyllic Boerum Hill One Bedroom,212,Entire home/apt,6 reviews,Brooklyn
Private Room in Spacious Apartment,73,Private room,8 reviews,Brooklyn
New & Private Luxury Bedroom nr All,63,Private room,1 review,Brooklyn
Williamsburg off Bedford L - 2,144,Private room,0 reviews,"Williamsburg, Brooklyn"
Lovely Room - Lorimer L Train,109,Private room,11 reviews,"Williamsburg, Brooklyn"
Private Room in WBerg Flat 4B,109,Private room,25 reviews,"Williamsburg, Brooklyn"
Modern 1br loft apt in Williamsburg,212,Entire home/apt,8 reviews,"Williamsburg, Brooklyn"
COSY BEDROOM IN HUGE LOFT.,85,Private room,33 reviews,"Downtown Brooklyn, Brooklyn"
Spacious Sunny 2BR/Prime Greenpoint,242,Entire home/apt,6 reviews,Brooklyn
Charming 3bd Bedford Ave Apartment,272,Entire home/apt,54 reviews,"Williamsburg, Brooklyn"
Huge Room in Williamsburg Brooklyn,67,Private room,3 reviews,"Williamsburg, Brooklyn"
Sunny Williamsburg Apt w/ Deck,269,Entire home/apt,19 reviews,"Williamsburg, Brooklyn"
"Room in modern, Brooklyn apartment",79,Private room,28 reviews,"Bedford-Stuyvesant, Brooklyn"
Spacious Williamsburg/Bushwick loft,85,Private room,74 reviews,"Bedford-Stuyvesant, Brooklyn"
Nice and Sunny Room For Two,47,Private room,2 reviews,Brooklyn
Beautiful View Of Prospect Park!,121,Entire home/apt,22 reviews,"Lefferts Garden, Brooklyn"
Park Slope Brooklyn!  Sunny Bedroom,127,Private room,108 reviews,"Park Slope, Brooklyn"
Modern/Rustic Studio Apt.,236,Entire home/apt,10 reviews,"Williamsburg, Brooklyn"
Private Skylight Room in BK Duplex,121,Private room,3 reviews,Brooklyn
"Steps From Art, Shopping & Eats",212,Entire home/apt,9 reviews,"Prospect Heights, Brooklyn"
Lovely sun-lit 3-bedroom apartment,212,Entire home/apt,18 reviews,Brooklyn
Private Room in Williamsburg Abode!,139,Private room,2 reviews,Brooklyn
Welcome to the Valley!,121,Entire home/apt,20 reviews,"Bushwick, Brooklyn"
DUMBO Contemporary Loft,242,Private room,8 reviews,"DUMBO, Brooklyn"
Lively loft!,59,Private room,62 reviews,"Williamsburg, Brooklyn"
Awesome Room #1 - Special Low Price,71,Private room,1 review,Brooklyn
Williamsburg Penthouse For A Cause,145,Private room,111 reviews,"Williamsburg, Brooklyn"
Private Entrance - Garden Apartment,145,Entire home/apt,47 reviews,"Clinton Hill, Brooklyn"
Private Room B in Lux Loft (3B),121,Private room,8 reviews,Brooklyn
Room in large bright Wburg apt,67,Private room,3 reviews,"Williamsburg, Brooklyn"
"Cozy, spacious & convenient 1 BR :)",91,Private room,18 reviews,Brooklyn
Best Bedroom with Private Bathroom,108,Private room,8 reviews,Brooklyn
Beautiful Williamsburg APT w/ VIEW!,241,Entire home/apt,4 reviews,Brooklyn
NYC Large Sunny Room Artist Home!,73,Private room,7 reviews,"Bushwick, Brooklyn"
"Your Haven Awaits At ""Emma's Place""",163,Entire home/apt,28 reviews,"Bedford-Stuyvesant, Brooklyn"
COMFORT AND CONVENIENCE IN THE CITY,79,Private room,29 reviews,"Bedford-Stuyvesant, Brooklyn"
Amazing 2 bed triplex loft,302,Entire home/apt,1 review,Brooklyn
Queen Sleeper Sofa w/ Outdoor Deck,77,Shared room,18 reviews,Brooklyn
The Wedge House,151,Entire home/apt,2 reviews,Brooklyn
2 bedroom apt in brick townhouse,139,Entire home/apt,42 reviews,"Brooklyn Navy Yard, Brooklyn"
Chic Victorian Garden Studio Apt.,192,Entire home/apt,89 reviews,"Clinton Hill, Brooklyn"
Fresh and modern 1BR in Bed-Stuy,103,Entire home/apt,33 reviews,"Bedford-Stuyvesant, Brooklyn"
Boutique Williamsburg 1 bedroom apt,242,Entire home/apt,12 reviews,"Williamsburg, Brooklyn"
Artsy apt in heart of Williamsburg,139,Entire home/apt,30 reviews,"Williamsburg, Brooklyn"
1 Blk to Subway + Prospect Park B,60,Private room,25 reviews,"Flatbush, Brooklyn"
Charming Boerum Hill - Private Deck,103,Private room,85 reviews,"Boerum Hill, Brooklyn"
Cozy space in a lovely place!,79,Private room,82 reviews,"Bushwick, Brooklyn"
Brand New Apartment in Brooklyn!!,105,Private room,6 reviews,Brooklyn
"1 Bedroom Apartment, 1906 Mansion",115,Entire home/apt,7 reviews,"Clinton Hill, Brooklyn"
Sunny 1 Bedroom Apartment/Loft,181,Entire home/apt,12 reviews,"Williamsburg, Brooklyn"
Spacious & Colorful apt near subway,59,Shared room,19 reviews,"Flatbush, Brooklyn"
Perfect room at perfect location,73,Private room,12 reviews,Brooklyn
Studio in Brownstone - Brooklyn 3F,133,Entire home/apt,39 reviews,"Clinton Hill, Brooklyn"
Private room in Fort Greene Bklyn,103,Private room,14 reviews,Brooklyn
Park Slope private room by subway,103,Private room,201 reviews,"Park Slope, Brooklyn"
"Sunny, beautiful Brooklyn abode",230,Entire home/apt,11 reviews,"Williamsburg, Brooklyn"
Best Neighborhood Carroll Gardens,333,Entire home/apt,35 reviews,"Carroll Gardens, Brooklyn"
Cozy Greenpoint Accommodation,81,Private room,30 reviews,"Greenpoint, Brooklyn"
Bedroom in Artsy Williamsburg loft,60,Private room,4 reviews,Brooklyn
Sun-drenched 1 Bedroom on the Park,158,Entire home/apt,23 reviews,"Greenpoint, Brooklyn"
Bright Roomy Williamsburg Apartment,194,Entire home/apt,5 reviews,Brooklyn
Bushwick B&B in Brooklyn NY,115,Private room,59 reviews,"East New York, Brooklyn"
Luxury Landmark Converted Stable,726,Entire home/apt,97 reviews,"Clinton Hill, Brooklyn"
Apt with pilates studio in Wllmsbrg,97,Private room,107 reviews,"Williamsburg, Brooklyn"
LargeRoom In Heart Of Williamsburg,120,Private room,13 reviews,Brooklyn
2 story family home in Williamsburg,345,Entire home/apt,150 reviews,"Williamsburg, Brooklyn"
BEDROOM2 FOR RENT  10min from Manh,97,Private room,10 reviews,"Bedford-Stuyvesant, Brooklyn"
"Park Slope Apt:, Spacious 2 bedroom",200,Entire home/apt,20 reviews,"Park Slope, Brooklyn"
The Vernon On Greene,217,Entire home/apt,100 reviews,"Bedford-Stuyvesant, Brooklyn"
Luxury Loft Private Room B (3C),121,Private room,11 reviews,Brooklyn
"New, 1 Bdr. in prime Park Slope!",121,Entire home/apt,4 reviews,Brooklyn
Williamsburg/Greenpoint Parkside,315,Entire home/apt,9 reviews,"Greenpoint, Brooklyn"
Bushwick Creative Den of Bliss,120,Private room,36 reviews,"Bushwick, Brooklyn"
Cozy rooms with private bath,103,Private room,10 reviews,Brooklyn
Queen Bed with Private Bathroom,103,Private room,25 reviews,"Williamsburg, Brooklyn"
Brooklyn Penthouse w/ Skyline View,73,Private room,4 reviews,"Crown Heights, Brooklyn"
Private Room - Brooklyn NY,45,Private room,0 reviews,Brooklyn
BK CHARM~Clean Modern~XPrss Train!!,67,Private room,75 reviews,"Flatbush, Brooklyn"
"Easy going, clean and close to city",79,Private room,19 reviews,Brooklyn
Columbia Waterfront District,175,Entire home/apt,46 reviews,"Columbia Street Waterfront, Brooklyn"
Charming Park Slope Apt W/Garden,200,Entire home/apt,26 reviews,"Park Slope, Brooklyn"
Treehouse Nook in Bushwick Home,97,Private room,10 reviews,"Bushwick, Brooklyn"
Bedroom in a spacious artsy Loft,60,Private room,41 reviews,"Williamsburg, Brooklyn"
Sunny Private Williamsburg room,121,Private room,8 reviews,"Williamsburg, Brooklyn"
Large Private B&B Style Studio,97,Entire home/apt,46 reviews,"Bedford-Stuyvesant, Brooklyn"
Lovely Bedroom and private shower,76,Private room,13 reviews,Brooklyn
Williamsburg house | near Lorimer L,121,Private room,25 reviews,"Williamsburg, Brooklyn"
lrg bedrm historic home 1blk PRATT,143,Private room,10 reviews,"Clinton Hill, Brooklyn"
Studio Space-Share Kitch/Bath,97,Private room,14 reviews,"Sunset Park, Brooklyn"
1bdr w private bath. in lofty apt,152,Private room,17 reviews,"Fort Greene, Brooklyn"
Cute Williamsburg Room w/ LOFT BED,96,Private room,18 reviews,"Williamsburg, Brooklyn"
Beautiful Brooklyn with garden!,169,Entire home/apt,1 review,"Crown Heights, Brooklyn"
Beautiful Views from True Brooklyn,79,Private room,18 reviews,Brooklyn
"NYC, Modern & Comfortable. THE ONE",241,Entire home/apt,50 reviews,"Williamsburg, Brooklyn"
Bedroom +Breakfast +Brisk Access,51,Private room,6 reviews,Brooklyn
Big Cute Room w/Pvt Entry in Duplex,109,Private room,71 reviews,"Bedford-Stuyvesant, Brooklyn"
"HUGE, modern 2-LEVEL Brooklyn apt",302,Entire home/apt,20 reviews,"DUMBO, Brooklyn"
SUNNY penthouse w/patio & city view,115,Private room,30 reviews,"Williamsburg, Brooklyn"
"Breakfast Patio , Roof & BK Bridge!",97,Private room,7 reviews,"Downtown Brooklyn, Brooklyn"
Lovely Brooklyn Apartment,145,Entire home/apt,13 reviews,"Greenpoint, Brooklyn"
Charming and Cozy 1 Bedroom,175,Entire home/apt,5 reviews,"Carroll Gardens, Brooklyn"
Modern bright 1 BR in Williamsburg,266,Entire home/apt,3 reviews,Brooklyn
"Gorgeous, bright and spacious!",230,Entire home/apt,13 reviews,"Brooklyn Heights, Brooklyn"
Home Sweet Home 2!!!!,109,Private room,33 reviews,"Williamsburg, Brooklyn"
Green Room in Beautiful Apt.,102,Private room,3 reviews,Brooklyn
Mayor's Mansion - Carlton Suite,145,Private room,45 reviews,"Fort Greene, Brooklyn"
Incredible Views in Williamsburg,242,Entire home/apt,3 reviews,"Williamsburg, Brooklyn"
Sunny Room in the Heart of it All!,115,Private room,36 reviews,"Williamsburg, Brooklyn"
"Dream Come True, Too! Williamsburg",120,Private room,31 reviews,"Williamsburg, Brooklyn"
Gorgeous Sky-lit 2br (hidden gem),212,Entire home/apt,67 reviews,"Williamsburg, Brooklyn"
Sunny room in Bushwick,73,Private room,12 reviews,"Bushwick, Brooklyn"
Bedroom in Designer Brooklyn Loft,103,Private room,3 reviews,"Bushwick, Brooklyn"
Luxury Loft Private Room A (3C),121,Private room,12 reviews,Brooklyn
Elegantly Simple Bed-Stuy Flat,156,Entire home/apt,14 reviews,Brooklyn
Beautiful room! Heart of Wburg BK!,83,Private room,46 reviews,"Williamsburg, Brooklyn"
Designer loft in hip Williamsburg,206,Entire home/apt,14 reviews,"Williamsburg, Brooklyn"
Perfect room(2) at perfect location,67,Private room,4 reviews,Brooklyn
Safe & Sunny 1bdrm -1blk to subway!,157,Entire home/apt,5 reviews,"Crown Heights, Brooklyn"
Huge Studio like-BR w/ PR Bathroom,119,Private room,2 reviews,Brooklyn
"Room & Breakfast, Steps to L Train",67,Private room,107 reviews,"Bushwick, Brooklyn"
Private room in Williamsburg,121,Private room,21 reviews,"Williamsburg, Brooklyn"
HUGE Loft! Comfy! Light! Plants!,83,Private room,38 reviews,"Bushwick, Brooklyn"
"""The Country"" & the NYC Waterfront!",194,Entire home/apt,75 reviews,"Williamsburg, Brooklyn"
Brooklyn Brownstone Top Floor,157,Entire home/apt,10 reviews,"Bedford-Stuyvesant, Brooklyn"
2nd Fl Bklyn Brownstone Apt!,121,Entire home/apt,32 reviews,"Lefferts Garden, Brooklyn"
Entire Waterfront Loft; City Views,206,Entire home/apt,68 reviews,"Brooklyn Navy Yard, Brooklyn"
Central Williamsburg 2 BD Flat,302,Entire home/apt,13 reviews,"Williamsburg, Brooklyn"
Charming Cheery Studio*Great Space*,115,Entire home/apt,8 reviews,Brooklyn
Bedford Ave Artist Loft,180,Entire home/apt,12 reviews,Brooklyn
Room 4 subway stops from Manhattan,97,Private room,41 reviews,"Lefferts Garden, Brooklyn"
Charming 1 Bedroom with terrace,168,Entire home/apt,4 reviews,"Vinegar Hill, Brooklyn"
Cozy Williamsburg Apt. w/ Terrace..,163,Entire home/apt,22 reviews,"Williamsburg, Brooklyn"
"Big, Sunny, Modern Apartment w/VIEW",241,Entire home/apt,36 reviews,"Williamsburg, Brooklyn"
Charming BR in brownstone farmhouse,113,Private room,46 reviews,"Clinton Hill, Brooklyn"
Luxury Lofted Williamsburg 3bd,417,Entire home/apt,55 reviews,"Williamsburg, Brooklyn"
Stunning Greenpoint Penthouse,121,Private room,12 reviews,"Greenpoint, Brooklyn"
PRIVATE and SUNNY Williamsburg Apt!,168,Entire home/apt,137 reviews,"Williamsburg, Brooklyn"
Prospect Heights/Park Slope Beauty,181,Entire home/apt,48 reviews,"Prospect Heights, Brooklyn"
Studio Apt. in East Williamsburg,115,Entire home/apt,29 reviews,"Williamsburg, Brooklyn"
1 block from Prospect Park!,85,Private room,13 reviews,"Lefferts Garden, Brooklyn"
bright bushwick room w/private bath,70,Private room,0 reviews,Brooklyn
Beautiful Williamsburg APT w/ VIEW!,241,Entire home/apt,4 reviews,Brooklyn
"Stay in Bushwick, Brooklyn!",65,Private room,11 reviews,Brooklyn
Sunny Apt w Option of 2 Full Beds,70,Private room,67 reviews,"Bushwick, Brooklyn"
Private Rm in Cozy Williamsburg Apt,109,Private room,4 reviews,"Williamsburg, Brooklyn"
KOZY ROOM IN FORT GREENE BROOKLYN..,96,Private room,87 reviews,"Fort Greene, Brooklyn"
Bi-level Loft with a Private Garden,240,Entire home/apt,5 reviews,"Williamsburg, Brooklyn"
PERFECT room in prime Williamsburg!,102,Private room,31 reviews,"Williamsburg, Brooklyn"
Fort Greene Brooklyn Studio Apt,169,Entire home/apt,2 reviews,"Fort Greene, Brooklyn"
Sunny Room in the heart of W'burg,79,Private room,23 reviews,"Williamsburg, Brooklyn"
BIG ROOM 1- 15 MINUTES TO MANHATTAN,91,Private room,10 reviews,Brooklyn
Brooklyn Artist loft off Bedford,79,Private room,3 reviews,Brooklyn
Great Williamsburg Apt with Balcony,83,Private room,5 reviews,Brooklyn
Large & Private 1 BR in BK Heights!,212,Private room,12 reviews,"Brooklyn Heights, Brooklyn"
"Fab, Cozy Brownstone Apt in BedStuy",115,Entire home/apt,82 reviews,"Bedford-Stuyvesant, Brooklyn"
Sunny Private Room in Brooklyn,73,Private room,11 reviews,"Crown Heights, Brooklyn"
Luxury Loft in Prospect Heights,157,Private room,25 reviews,"Prospect Heights, Brooklyn"
Studio in South Williamsburg,156,Entire home/apt,15 reviews,"Williamsburg, Brooklyn"
Park Slope Private Room and Bath,79,Private room,23 reviews,"Park Slope, Brooklyn"
beautiful brownstone,155,Entire home/apt,21 reviews,Brooklyn
Better than a Hotel,242,Entire home/apt,41 reviews,"Williamsburg, Brooklyn"
Bright Private Room with Futon,109,Private room,7 reviews,Brooklyn
Best location in Brooklyn!,133,Private room,20 reviews,"Park Slope, Brooklyn"
Sunny Modern 2-Bedroom in Bushwick,169,Entire home/apt,9 reviews,"Bushwick, Brooklyn"
Modern building in greenpoint!!!,97,Private room,20 reviews,Brooklyn
Studio in Fort Greene/Clinton Hill,163,Entire home/apt,46 reviews,"Clinton Hill, Brooklyn"
1 Blk to Subway + Prospect Park D,60,Private room,20 reviews,"Flatbush, Brooklyn"
Nice Bedroom in Williamsburg Loft,115,Private room,5 reviews,Brooklyn
Hancock House cozy Garden Level,120,Entire home/apt,2 reviews,Brooklyn
Stylish Brooklyn Apartment,120,Entire home/apt,1 review,Brooklyn
Williamsburg Artist Loft,212,Entire home/apt,20 reviews,"Williamsburg, Brooklyn"
Large 1 Bedroom in Brooklyn Heights,302,Entire home/apt,2 reviews,Brooklyn
Private Brooklyn Suite within Apt,103,Private room,70 reviews,"Lefferts Garden, Brooklyn"
Room for a girl in Park Slope,48,Private room,13 reviews,"Park Slope, Brooklyn"
Brooklyn Home Base,132,Entire home/apt,7 reviews,Brooklyn
Minimalist loft in Williamsburg,229,Entire home/apt,18 reviews,"Williamsburg, Brooklyn"
1BD in Modern Deco Williamsburg,139,Private room,4 reviews,"Williamsburg, Brooklyn"
Trendy Bushwick neighborhood,85,Private room,6 reviews,Brooklyn
Beautiful Bedstuy Garden Apartment,132,Entire home/apt,8 reviews,"Bedford-Stuyvesant, Brooklyn"
Peaceful new 2 bed in South Wsbg!,242,Entire home/apt,17 reviews,"Williamsburg, Brooklyn"
"Clean, bright and sunny bedroom",91,Private room,1 review,"Williamsburg, Brooklyn"
Beautiful Brooklyn Heights Studio,180,Entire home/apt,10 reviews,"Brooklyn Heights, Brooklyn"
"Sunny Rm, bike, Prospect Park!",48,Private room,35 reviews,"Lefferts Garden, Brooklyn"
"Quaint, beautiful studio Brooklyn",181,Entire home/apt,35 reviews,"Boerum Hill, Brooklyn"
"New, spacious 2BD in Williamsburg",181,Entire home/apt,9 reviews,"Williamsburg, Brooklyn"
Brooklyn Prospect Park Cozy Single,109,Private room,92 reviews,"Prospect Heights, Brooklyn"
Charming room near Park & Museum!,58,Private room,4 reviews,"Prospect Heights, Brooklyn"
$82 Cozy 1BD in BK - Dec 8 to 18,102,Entire home/apt,12 reviews,Brooklyn
Global Modern Garden Apt BedStuy,163,Entire home/apt,61 reviews,"Bedford-Stuyvesant, Brooklyn"
"HISTORIC WILLIAMSBURG, BKLYN",236,Entire home/apt,28 reviews,"Williamsburg, Brooklyn"
Cozy Room in Bushwick Greenhouse,91,Private room,5 reviews,Brooklyn
"Country chic bedroom, Williamsburg",121,Private room,14 reviews,"Williamsburg, Brooklyn"
Private Room/Heart of Williamsburg,103,Shared room,3 reviews,Brooklyn
Private Bedroom & Bathroom W/ Yard,79,Private room,26 reviews,"Bushwick, Brooklyn"
The artist's house part 3,73,Private room,10 reviews,"Lefferts Garden, Brooklyn"
COZY and WARM Garden Apartment,181,Entire home/apt,35 reviews,"Fort Greene, Brooklyn"
Cool & Cozy Apt in Great Neighborhd,167,Entire home/apt,106 reviews,"Flatbush, Brooklyn"
Modern Cozy Brownstone Apartment,115,Private room,39 reviews,"Williamsburg, Brooklyn"
Guest Bedroom in Huge Brooklyn Apt,109,Private room,3 reviews,Brooklyn
"HUGE, modern 2-LEVEL Brooklyn apt",302,Entire home/apt,20 reviews,"DUMBO, Brooklyn"
Brooklyn - Boerum Hill Beauty,242,Entire home/apt,4 reviews,Brooklyn
"Best located 2BD, & outdoor deck!",212,Entire home/apt,43 reviews,"Williamsburg, New York"
Classic Artist Loft Williamsburg,151,Private room,89 reviews,"Williamsburg, Brooklyn"
Stunning 23 fl bedroom with views,151,Private room,20 reviews,"Downtown Brooklyn, Brooklyn"
Designer loft in hip Williamsburg,206,Entire home/apt,14 reviews,"Williamsburg, Brooklyn"
Loft Share off Bedford in Brooklyn!,87,Private room,4 reviews,Brooklyn
Open Design Williamsburg Loft,338,Entire home/apt,43 reviews,"Williamsburg, Brooklyn"
"Cozy Bklyn,20min toJFK or Manhattan",59,Private room,0 reviews,Brooklyn
Charming 3bdrm Loft~Bed & Bagel!,236,Entire home/apt,31 reviews,"Bushwick, Brooklyn"
HUGE SUNNY ROOM 1 PRIME WILLYBURG!!,121,Private room,8 reviews,Brooklyn
Your Prospect Heights Garden Oasis!,200,Entire home/apt,30 reviews,"Prospect Heights, Brooklyn"
Bedroom in a spacious artsy Loft  C,54,Private room,3 reviews,"Williamsburg, Brooklyn"
Large sun-filled apt Lorimer L stop,157,Entire home/apt,11 reviews,"Williamsburg, Brooklyn"
BEAUTIFUL STUDIO IN BOERUM HILL #8,212,Entire home/apt,21 reviews,"Boerum Hill, Brooklyn"
Lovely Bright 1 BedR With Backyard,175,Entire home/apt,2 reviews,"Williamsburg, Brooklyn"
Share a Private HOME - Brooklyn,91,Private room,26 reviews,"Bedford-Stuyvesant, Brooklyn"
Holiday Time in NY - Oh My!!,109,Private room,49 reviews,"Crown Heights, Brooklyn"
Vintage Williamsburg 1BR near park!,224,Entire home/apt,5 reviews,Brooklyn
Lovely Room in Gorgeous BK Brwnstn!,109,Private room,13 reviews,"Bedford-Stuyvesant, Brooklyn"
Gorgeous Private Room in Bushwick,67,Private room,1 review,"Bedford-Stuyvesant, Brooklyn"
Best Room in Bushwick,54,Private room,11 reviews,Brooklyn
Garden Suite in Fort Greene,133,Entire home/apt,73 reviews,"Fort Greene, Brooklyn"
Unique BK- Manhattan in 10-15 min,91,Private room,7 reviews,Brooklyn
Party/Event Loft 3000SQ FT BKLYN,1814,Entire home/apt,5 reviews,Brooklyn
Park Slope Brownstone with Garden,188,Entire home/apt,20 reviews,"Park Slope, Brooklyn"
Private Bedroom & Bathroom W/ Yard,79,Private room,26 reviews,"Bushwick, Brooklyn"
Nice Apt in HEART of Williamsburg!,163,Entire home/apt,24 reviews,"Williamsburg, Brooklyn"
SUNNY ROOM A PRIME CHIC WILLYBURG!!,117,Private room,8 reviews,Brooklyn
Brooklyn 1 BR near subway,91,Entire home/apt,7 reviews,Brooklyn
Spacious Loft 5 min to Union Square,157,Private room,72 reviews,"Williamsburg, Brooklyn"
"Bright, Sunny Studio in Bay Ridge",85,Entire home/apt,4 reviews,Brooklyn
Bedroom with Garden at the Back,85,Private room,102 reviews,"Clinton Hill, Brooklyn"
1 Bedroom Sunny Charming Apartment,145,Entire home/apt,1 review,"Bedford-Stuyvesant, Brooklyn"
Spacious & Sunny - Entire Apt,121,Entire home/apt,0 reviews,Brooklyn
E Williamsburg Artist Retreat;Beige,79,Private room,46 reviews,"Williamsburg, Brooklyn"
3BR in trendy WilliamsburgBrooklyn,242,Entire home/apt,1 review,"Williamsburg, Brooklyn"
HIP ROOM A- 15 MINUTES TO MANHATTAN,85,Private room,15 reviews,Brooklyn
Peaceful 1 bedroom in South Slope,145,Entire home/apt,16 reviews,"Greenwood Heights, Brooklyn"
Lovely Sunlit Brooklyn Brownstone,103,Private room,12 reviews,"Bedford-Stuyvesant, Brooklyn"
"Private room, williamsburg NYC!!!!!",71,Private room,6 reviews,"Williamsburg, Brooklyn"
LOFTED large room with Private Bath,42,Private room,2 reviews,Brooklyn
Private 1 BD close to Manhattan,60,Private room,20 reviews,Brooklyn
Treehouse Nook in Bushwick Home,97,Private room,10 reviews,"Bushwick, Brooklyn"
Ideal Brooklyn Brownstone Apartment,200,Entire home/apt,59 reviews,"Bedford-Stuyvesant, Brooklyn"
